participant_id,expertise_level,trial_id,fixation_id,ecg_lead,diagnostic_phase,duration_ms
E001,expert,T001,1,V1,Rhythm-Check,275
E001,expert,T001,2,aVL,Axis-Determination,220
E001,expert,T001,3,III,P-wave-Analysis,267
E001,expert,T001,4,II,PR-interval-Assessment,242
E001,expert,T001,5,I,QRS-Analysis,274
E001,expert,T001,6,V2,ST-segment-Evaluation,298
E001,expert,T001,7,V2,QRS-Analysis,241
E001,expert,T001,8,V2,T-wave-Examination,280
E001,expert,T001,9,V5,QT-interval-Measurement,154
E001,expert,T001,10,I,Lead-by-Lead-Review,225
E001,expert,T001,11,III,Lead-by-Lead-Review,183
E001,expert,T001,12,V3,QRS-Analysis,177
E001,expert,T001,13,V4,ST-segment-Evaluation,294
E001,expert,T001,14,II,T-wave-Examination,154
E001,expert,T001,15,V5,QT-interval-Measurement,234
E001,expert,T001,16,V2,Lead-by-Lead-Review,298
E001,expert,T001,17,V1,Lead-by-Lead-Review,358
E001,expert,T001,18,V5,QRS-Analysis,238
E001,expert,T001,19,II,ST-segment-Evaluation,322
E001,expert,T001,20,aVF,Lead-by-Lead-Review,274
E001,expert,T001,21,V4,Lead-by-Lead-Review,263
E001,expert,T001,22,V2,QRS-Analysis,260
E001,expert,T001,23,III,ST-segment-Evaluation,292
E001,expert,T001,24,V3,ST-segment-Evaluation,160
E001,expert,T001,25,I,T-wave-Examination,165
E002,expert,T002,1,II,Rhythm-Check,243
E002,expert,T002,2,I,Axis-Determination,248
E002,expert,T002,3,II,Rhythm-Check,270
E002,expert,T002,4,II,Rhythm-Check,205
E002,expert,T002,5,aVF,Axis-Determination,194
E002,expert,T002,6,aVL,P-wave-Analysis,257
E002,expert,T002,7,V1,PR-interval-Assessment,297
E002,expert,T002,8,I,P-wave-Analysis,227
E002,expert,T002,9,II,PR-interval-Assessment,239
E002,expert,T002,10,V1,Rhythm-Check,301
E002,expert,T002,11,aVF,Axis-Determination,155
E002,expert,T002,12,I,Axis-Determination,274
E002,expert,T002,13,II,Axis-Determination,250
E002,expert,T002,14,I,P-wave-Analysis,275
E002,expert,T002,15,II,PR-interval-Assessment,178
E002,expert,T002,16,V4,QRS-Analysis,316
E002,expert,T002,17,V4,ST-segment-Evaluation,252
E002,expert,T002,18,aVF,ST-segment-Evaluation,236
E003,expert,T003,1,II,Rhythm-Check,278
E003,expert,T003,2,aVF,Axis-Determination,216
E003,expert,T003,3,II,Axis-Determination,311
E003,expert,T003,4,V1,P-wave-Analysis,253
E003,expert,T003,5,II,PR-interval-Assessment,213
E003,expert,T003,6,I,PR-interval-Assessment,234
E003,expert,T003,7,V5,QRS-Analysis,276
E003,expert,T003,8,II,ST-segment-Evaluation,294
E003,expert,T003,9,V2,QRS-Analysis,220
E003,expert,T003,10,III,ST-segment-Evaluation,263
E003,expert,T003,11,V3,T-wave-Examination,198
E003,expert,T003,12,I,QT-interval-Measurement,240
E003,expert,T003,13,V1,Lead-by-Lead-Review,234
E003,expert,T003,14,V2,QRS-Analysis,236
E003,expert,T003,15,II,T-wave-Examination,238
E003,expert,T003,16,aVL,T-wave-Examination,245
E003,expert,T003,17,V4,QT-interval-Measurement,149
E003,expert,T003,18,V4,QT-interval-Measurement,329
E003,expert,T003,19,V4,QT-interval-Measurement,148
E003,expert,T003,20,II,QT-interval-Measurement,332
E004,expert,T004,1,aVF,Rhythm-Check,312
E004,expert,T004,2,aVF,Axis-Determination,185
E004,expert,T004,3,V4,QRS-Analysis,263
E004,expert,T004,4,II,ST-segment-Evaluation,282
E004,expert,T004,5,V4,T-wave-Examination,215
